Nombre,ID del producto,Precio,Categoría,Imagen,Activo,Destacado,Artista,Stock,Descripción,Notas internas,Trigger Make
VINIL QUEEN GREATEST HITS,DV00021 ,"$112,70",DISCO,DV00021 DISCO VINIL QUEEN GREATEST HITS.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/uplevkMZxSxlZv88Lu1oxA/GewptzS9M37WadWN2jCleGRA-EN-TJIhfc6jowvStVkodOYRpvT92o-hkVaiE5Qmzq_XHp8kY-r5AarnLghmqI8bWoLy_2itQdmsDsgT1TU6vH__TV8h6L77tP3aB93q7NaeKLn7sWjzIq3IBGfQqUE2zN9numc954e7_rQozXFxcKVrIM9NJQX1Pi0qX7Zg/1KW__lmv_uzClggniUBZGWlkQVeXhieLpLskdKYyIYE),checked,,QUEEN,Disponible,,,24/6/2026 4:27pm
VINIL AEROSMITH GREATEST HITS,DV00022 ,"$85,10",DISCO,DV00022 - DISCO VINIL AEROSMITH GREATEST HITS.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/GR5pKIBjXknTLHP4cyM_hQ/iAiFczCnSKkpjgF69eBawr2f3Bj66Mqq5jYQpTKe-VidOVa9oEvG-XqiL2oWsBvjXEIVkdx0Ymq9dV8iejYVfY6Pweek5CZMxj_d0vJFYS1QnXrRTI9TjL_jYFZsNKCAjNenu_cSEYEzzIgudhGBkFyaDGbbyUfPyu_AQSvJtH3UzQxGOSrkzyHkxP6xTmZP26afbT-ZC7h6D8WY3j2Ztg/xsmE0eJj9KWAHVhfZ_hTt2rUS-Lh65sbnXh1omYDdUQ),checked,,AEROSMITH,Disponible,,,24/6/2026 4:28pm
VINIL KAROL G TROPICOQUETA,DV00023 ,"$75,90",DISCO,DV00023 - DISCO VINIL KAROL G TROPICOQUETA.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/gIw0GbNExIvIYhei0LgtPw/y3HSpwfJcpuvQnPWOr9UQH6hD2R7KWdIGng7az7CR3MW0gYUJvQkv1hrR_jCp4D4isRHRfrDd06NcdGUN2xWbh7cbmSuBU-WyIiQMtAolS3oiVe9Qhsd8kfzvEr7oGeAhPR-ccpxnVikHXlsb57eI57YeRCGUwxDe7iEfl0_pfKaIvlXEOfirmRP_I4eGrp7/DBcvetGE1fIM13cWoE4O2Khk1DXNMbXN70CLe-kDe1A),checked,,KAROL G,Disponible,,,24/6/2026 4:28pm
VINIL BOB MARLEY LEGEND,DV00024,"$80,50",DISCO,DV00024 - DISCO VINIL BOB MARLEY LEGEND.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/QbrzrTivxT_HdODh2GjArA/DQ1RqD_yOpPq_5K7JWVnlRdqcq06e2V72me1kCaWJXjtIE4gDL0dkqCBWeX4tQIq_FLos2IEOHPgCmECDe2ctEs0ZCBmuhT972F2HDqa_LFavRh_obqqHuPp4dWF50MmET0eT7ynLrLSHUscaAQ5xHCAKZmUlDDS4lDHf6NZoCwWhuAIYzoqj5uI4ELtmQG9/QGHBGdtSt53krs7m4djWgVqBQVnrohM8YLru7sj0zRQ),checked,,BOB MARLEY,Disponible,,,24/6/2026 4:28pm
VINIL GUNS N ROSE GREATEST HITS,DV00025,"$108,10",DISCO,DV00025 - DISCO VINIL GUNS N ROSE GREATEST HITS.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/oU2N00W31ucmezlS8bnOLQ/yExSvpfQVmPwUqrfESbv-E6FZ59hHLs1V_nb4IzCS2KiWK84chlvJLI2KbS4egmrXMcCai9Yt5HgHrevPaRpoXboQ3845jUD_kDtc2tcCZHIJvE6EdaFy1Lwrdq7bB0_DgElVsIFbSDeur30lsT_qrycr50HIGsEA6UUd7bQpRCVQH6t7CY8PL1E9v_Ygz-Xgwb9WnFzmKrvNF7DVtbOGg/1FtOjyIg-Hsg61AmWX9sakrXATUFQ6fZjtfsHFBYMtY),checked,,GUNS N ROSE,Disponible,,,24/6/2026 4:28pm
VINIL MAROON 5,DV00026,"$92,00",DISCO,DV00026 - DISCO VINIL MAROON 5.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/UwB1rv4ZdCQueZ_6XJ8i4A/i0pJpjVqedaNqvhWvdsiytyI3MXmKRc8oqU1-H4sSAerbGghRZrH5I8zuuW5vAbhuerphgbNFf5rnZw9izwqZj9ws67TKI1CQwbJNOMOLU3wpNdjbGIwvBXgef34ii0w7DMKA3CEpXNfua0tPWkhPEYNhUz9ZLh9Y45jCQHDvjZFErAYc0JDt79rzjOizeC0/bVaVB0TYR0Wqyn8AiE8kIuNt5LNNEzDxx-sIDIAVA48),checked,,MAROON 5 ,Disponible,,,24/6/2026 4:28pm
VINIL DADDY YANKEE LEGENDADDY ,DV00027 ,"$64,40",DISCO,DV00027 - DISCO VINIL DADDY YANKEE LEGENDADDY.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/dM56EHDaI_IWbjU-RDSKmQ/NoojkTov402e0CMV0HQnTUxI60el6-Ump_nK0BIEcF8jtzAW3cAFwosvl_hjVudnulIZKCKQgagvjQvjeucE19RjTpW-wxK7peS6ZdmQzOnIbF4v9nrS7h2IjQ1CTGjNSi6bmCDy9fD64HpBEvrfUKbu8GN0MMD_vD1WkBcuw6rh-zCkMgz3PdfiIKha2U0zrKBByQjj-dmsumkoU_F-kg/xBMOliQL1E0fM29LPdXFxzWzYp65MQTTEuXtsREJ9FU),checked,,DADDY YANKEE,Disponible,,,24/6/2026 4:29pm
VINIL MICHAEL JACKSON THRILLER ,DV00028 ,"$69,00",DISCO,DV00028 - DISCO VINIL MICHAEL JACKSON THRILLER.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/_mT5tYbw9QXSOddIpoUVvw/Cq09pm0_arEgiKX4Qj67ZTRioV-x4-A-jqirLVCK6VYlPqcjx1nqfTFuIk7BHEm8g0POCWt6Nep1kAvBG2hIg8oTCPzkWmDpvmoBXMlGylaLrLBM3YmlGImffG7YDNrd9vOXK8Rb6mqecHoWAswBwYl21LaacNpteglJD8t7tCX8xPyt3ELrseNGaogqUgtSEvL7xY1l4E__1tae0atYWQ/gZfUDaaR_luDnW7uPR-UCP5rpXySVRsovQfmsj7eYsY),checked,,MICHAEL JACKSON,Disponible,,,24/6/2026 4:29pm
VINIL AMY WINEHOUSE ,DV00029,"$87,40",DISCO,DV00029 - DISCO VINIL AMY WINEHOUSE.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/PQbchrXEHW7qEzyzDFGYTw/75pGex77BCUc9YCPr3cFSEh4brGhqyMjIDSKvpTbttxUziX9KVFM166Q8ZM9vLiz2cGeMCMG8_fVU3KDoZJXzCBNODZ7X25xdxTBg7s7MStzpdZP9umNSGtKT1Kzle9VTAOsQ0oD-18UORVnd0hcfowNN7jSmidrB1ufGdMfJphz01RzW0DYJPmRK9SLpXqA/f5Tv7-S1vZoM-lYYOyNblJ2dgM4_PVO80jIAvGeD84I),checked,,AMY WINEHOUSE ,Disponible,,,24/6/2026 4:29pm
VINIL THE BEATLES ABBY ROAD,DV00030,"$89,70",DISCO,DV00030 - DISCO VINIL THE BEATLES ABBY ROAD.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/wZT2CeKvL1YeJPvZMtrUTw/6yzImYDZCOiwi2jgwgeyJPgSqkFfkZxmKv9JkmWShmgVi69nnBKTsnUyfNHiEDFTBtJMfg_TNSEwiGQJ4RHEiL-0PxlboG07s0KFvVzVbpi3oWOqe-v2Ux6oVXEMyrH5HoZ1jFCuB71COxEV0rr4_1d9EaCzfC4ryQI2KG-O4MEZki8rK_338KRxmytoh0ZO/KHcwQgoLl0FVakFg3nKZU9WluDP3s3CtjIbFDS05jlQ),checked,,HE BEATLES,Disponible,,,24/6/2026 4:30pm
